AgeGrp,Sex,Genotype,Diet,Line,Ymaze.Distance_mean,Ymaze.Distance_sd,Ymaze.MeanSpeed_mean,Ymaze.MeanSpeed_sd,Ymaze.SponAlt_mean,Ymaze.SponAlt_sd,Ymaze.TotalArmEntries_mean,Ymaze.TotalArmEntries_sd,Ymaze.AltArmReturns_mean,Ymaze.AltArmReturns_sd,Ymaze.Percent.SponAlt_mean,Ymaze.Percent.SponAlt_sd,Ymaze.Percent.AltArmReturns_mean,Ymaze.Percent.AltArmReturns_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Male,Ntg,6% Extruded,B6xBXD99,13.718434782608695,2.939499181618389,0.028521739130434782,0.006178184237646876,17.52173913043478,5.186254255392906,30.782608695652176,7.235999156610399,8.347826086956522,3.5497592191350096,61.30434782608695,10.159790542797513,28.82608695652174,9.286609000026198,59,6.653775414960086,1.9339130434782608,0.2158858943228782,23
2,Male,Ntg,6% Extruded,B6xD2,12.412928571428571,2.637159025633615,0.02588095238095238,0.005482577197758773,17.19047619047619,4.748494473800298,26.904761904761905,5.970698875665998,5.9523809523809526,2.722556017049016,68.69047619047619,10.609448378198708,23.738095238095237,9.103897647763423,60.30952380952381,10.458951342383523,1.9773809523809525,0.3424521296353021,42
2,Male,Ntg,6% Extruded,B6xD2Gpnmb,11.701380952380953,3.217073582730353,0.02445238095238095,0.006747004325145404,17.166666666666668,5.2726476279123835,28.61904761904762,8.030285299892968,5.690476190476191,3.3820768279492093,64.92857142857143,9.136880123828513,20.595238095238095,9.42508206293969,69.52380952380952,8.291159250607327,2.2785714285714285,0.27309045609933635,42
2,Male,Ntg,6% Extruded,D2,13.3004,3.1627823615713213,0.027800000000000002,0.006729701991090608,14,6.497862896539309,28.6,8.461678320522472,10,3.5276684147527875,51.9,14.715449175762338,38.6,10.647900158142814,59,0,1.93,0,10
4,Female,5XFAD,45% HFD,B6,8.6062,2.4683879759875675,0.0178,0.0050695167422546315,11.8,2.4899799195977463,21.2,5.495452665613635,4.2,2.280350850198276,63,11.789826122551595,20.8,5.215361924162119,117.8,0.44721359549995793,3.864,0.01341640786499885,5
4,Female,5XFAD,45% HFD,B6xBXD12,17.599,3.248448552771,0.036500000000000005,0.006363961030678929,23,5.656854249492381,43.5,4.949747468305833,16.5,2.1213203435596424,55,7.0710678118654755,40,9.899494936611665,127,0,4.16,0,2
4,Female,5XFAD,45% HFD,B6xBXD14,13.654,1.742311108843652,0.028499999999999998,0.0035355339059327385,19.5,3.5355339059327378,29.5,3.5355339059327378,5,0,70.5,3.5355339059327378,18.5,2.1213203435596424,146,0,4.79,0,2
4,Female,5XFAD,45% HFD,B6xBXD16,6.735333333333333,3.454947370559113,0.013999999999999999,0.007549834435270749,8.666666666666666,4.041451884327381,17.666666666666668,6.506407098647712,3,2,55,4.58257569495584,17.666666666666668,6.110100926607787,112,0,3.67,0,3
4,Female,5XFAD,45% HFD,B6xBXD169,11.238,1.6518014408517752,0.0235,0.003535533905932736,12,1.4142135623730951,25.5,4.949747468305833,8,1.4142135623730951,51.5,4.949747468305833,35.5,13.435028842544403,150,0,4.92,0,2
4,Female,5XFAD,45% HFD,B6xBXD28,10.38042857142857,3.1328813073134905,0.02157142857142857,0.006502746672423453,14,5.163977794943222,26.142857142857142,7.84067538393157,5.285714285714286,3.450327796711771,57.285714285714285,8.179533110438634,20,8.504900548115382,112.14285714285714,8.64924989866311,3.678571428571429,0.28386784316113095,7
4,Female,5XFAD,45% HFD,B6xBXD31,8.176,NA,0.017,NA,12,NA,22,NA,5,NA,60,NA,25,NA,101,NA,3.31,NA,1
4,Female,5XFAD,45% HFD,B6xBXD39,8.56,NA,0.018,NA,7,NA,17,NA,4,NA,47,NA,27,NA,148,NA,4.85,NA,1
4,Female,5XFAD,45% HFD,B6xBXD50,9.425,NA,0.02,NA,10,NA,20,NA,5,NA,56,NA,28,NA,141,NA,4.62,NA,1
4,Female,5XFAD,45% HFD,B6xBXD55,11.74375,7.505468556326113,0.0245,0.01537313674346694,13.25,10.626225419530053,28.5,18.15672510852843,7.25,7.58836829188814,47,8.082903768654761,22.5,11.269427669584644,121,18,3.965,0.5899999999999999,4
4,Female,5XFAD,45% HFD,B6xBXD61,5.808833333333333,3.530046142285773,0.012166666666666666,0.0071670542530852,9.5,4.324349662087931,19,6.782329983125268,4.166666666666667,3.2506409624359724,56,17.469974241537965,22.333333333333332,9.179687721631202,120,17.25108692227826,3.9366666666666665,0.5666980383472902,6
4,Female,5XFAD,45% HFD,B6xBXD62,5.335,NA,0.011,NA,6,NA,13,NA,5,NA,55,NA,45,NA,122,NA,4,NA,1
4,Female,5XFAD,45% HFD,B6xBXD66,8.9995,1.5565329100279248,0.018666666666666668,0.0031411250638372656,12.5,2.16794833886788,23.833333333333332,4.445971959725642,4.833333333333333,2.6394443859772205,58.666666666666664,11.183320914051723,21.5,9.137833441248533,117.16666666666667,2.48327740429189,3.841666666666667,0.0796031825159437,6
4,Female,5XFAD,45% HFD,B6xBXD78,7.938,NA,0.017,NA,4,NA,18,NA,6,NA,25,NA,38,NA,98,NA,3.21,NA,1
4,Female,5XFAD,45% HFD,B6xBXD83,7.591,NA,0.016,NA,9,NA,17,NA,4,NA,60,NA,27,NA,150,NA,4.92,NA,1
4,Female,5XFAD,45% HFD,B6xBXD87,16.297666666666668,2.2788280613800893,0.034,0.004582575694955839,20,7.810249675906654,40.333333333333336,4.725815626252608,11.666666666666666,6.027713773341708,52,18.520259177452136,30.333333333333332,14.189197769195175,148,0,4.85,0,3
4,Female,5XFAD,45% HFD,B6xBXD89,8.084,NA,0.017,NA,9,NA,23,NA,5,NA,43,NA,24,NA,122,NA,4,NA,1
4,Female,5XFAD,45% HFD,B6xBXD99,14.072,0.3535533905932738,0.0295,7.071067811865457e-4,16,2.8284271247461903,33.5,0.7071067811865476,12,1.4142135623730951,51,9.899494936611665,38,4.242640687119285,141,0,4.62,0,2
4,Female,5XFAD,6% Extruded,B6,10.353103448275862,3.8101188427736887,0.021620689655172415,0.00795259972364585,12.241379310344827,5.309393107730279,25.103448275862068,7.839209269463557,6.448275862068965,4.075941669431843,52.06896551724138,13.827847251322648,27.03448275862069,11.74576750098486,124.24137931034483,10.200333231299684,4.074137931034483,0.334872227673474,29
