AgeGrp,Sex,Genotype,Diet,Line,Weight_mean,Weight_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Female,Ntg,45% HFD,B6xBXD113,19.55,NA,86,NA,2.82,NA,1
2,Female,Ntg,45% HFD,B6xBXD14,20.59,NA,87,NA,2.85,NA,1
2,Female,Ntg,45% HFD,B6xBXD152,21.85,0.3111269837220818,85.5,2.1213203435596424,2.8,0.07071067811865482,2
2,Female,Ntg,45% HFD,B6xBXD161,22.28,NA,86,NA,2.82,NA,1
2,Female,Ntg,45% HFD,B6xBXD169,18.205,0.233345237791562,86,0,2.82,0,2
2,Female,Ntg,45% HFD,B6xBXD19,20.075000000000003,2.029396462005392,86,0,2.82,0,2
2,Female,Ntg,45% HFD,B6xBXD28,30.03,7.467047609329944,86,0,2.82,0,2
2,Female,Ntg,45% HFD,B6xBXD38,20.75,1.478276022940236,86,0,2.82,0,3
2,Female,Ntg,45% HFD,B6xBXD39,22,1.1030865786510158,79,0,2.59,0,2
2,Female,Ntg,45% HFD,B6xBXD60,25.8975,3.3188991648838426,82.5,4.041451884327381,2.705,0.1327905619136139,4
2,Female,Ntg,45% HFD,B6xBXD61,24.618,2.9009688036930013,83.2,3.8340579025361627,2.7279999999999998,0.1259761882261882,5
2,Female,Ntg,45% HFD,B6xBXD65,21.88,0.9616652224137042,86,0,2.82,0,2
2,Female,Ntg,45% HFD,B6xBXD66,22.275,2.4253762594698576,91,0,2.98,0,2
2,Female,Ntg,45% HFD,B6xBXD68,27.6325,13.098820239497398,84.25,3.5,2.7624999999999997,0.11499999999999999,4
2,Female,Ntg,45% HFD,B6xBXD74,19.17,NA,86,NA,2.82,NA,1
2,Female,Ntg,45% HFD,B6xBXD75,23.89,NA,86,NA,2.82,NA,1
2,Female,Ntg,45% HFD,B6xD2,22.68,NA,86,NA,2.82,NA,1
2,Female,Ntg,45% HFD,B6xD2Gpnmb,21.035,0.37476659402887097,79,0,2.59,0,2
2,Female,Ntg,6% Extruded,B6xBXD113,21.058,0.8828193473185783,85.2,1.0954451150103321,2.792,0.03834057902536154,5
2,Female,Ntg,6% Extruded,B6xBXD124,20.683333333333334,1.1927419391189933,88,1.7320508075688772,2.8833333333333333,0.05773502691896263,3
2,Female,Ntg,6% Extruded,B6xBXD125,21.39,NA,79,NA,2.59,NA,1
2,Female,Ntg,6% Extruded,B6xBXD14,21,1.788910282825833,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xBXD152,21.656,1.7067747361617471,85,1.4142135623730951,2.784,0.047749345545253286,5
