AgeGrp,Sex,Genotype,Diet,Line,CFC.Baseline_mean,CFC.Baseline_sd,CFC.PS1_mean,CFC.PS1_sd,CFC.PS2_mean,CFC.PS2_sd,CFC.PS3_mean,CFC.PS3_sd,CFC.PS4_mean,CFC.PS4_sd,CFA.Threshold_mean,CFA.Threshold_sd,CFA.Slope_mean,CFA.Slope_sd,CFM.Bin1_mean,CFM.Bin1_sd,CFM.Bin2_mean,CFM.Bin2_sd,CFM.Bin3_mean,CFM.Bin3_sd,CFM.Bin4_mean,CFM.Bin4_sd,CFM.Bin5_mean,CFM.Bin5_sd,CFM.Total_mean,CFM.Total_sd,CFM.Threshold_mean,CFM.Threshold_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
6,Male,Ntg,6% Extruded,B6xD2,1.883,2.12157200626747,15.399,14.206524674716661,35.4,25.429360109046307,46.092,27.466277019889926,50.332,23.74247660956109,13.26,2.604159066655577,11.549099999999997,8.874237024480845,37.338,18.457742007082015,30.843,17.97129133429822,26.985,16.681007330360945,23.457,14.10990042487898,21.687,12.91405010056876,28.066000000000003,13.829451824919808,19.305,5.2224584461939205,179,10,5.866,0.32867410404025854,10
6,Male,Ntg,6% Extruded,B6xD2Gpnmb,3.5816666666666666,5.028019370276808,17.055,19.316783329059167,34.39,24.525915792372473,45.277499999999996,20.056048792865912,51.555,23.809957618991717,16.086666666666666,3.8464962411697914,11.438749999999999,7.8555598970063585,42.33083333333333,17.276983879418797,41.05833333333333,23.35213980202528,32.35333333333333,22.494413178441093,32.961666666666666,22.036541484680864,30.705000000000002,22.958676117993154,35.880833333333335,19.517059418194467,19.855,4.5199949718395205,189,13.934913640988889,6.194999999999999,0.45602033447484075,12
6,Male,Ntg,6% Extruded,D2,1.208,2.7011701168197457,36.268,27.19888085932949,47.202,25.044573663769963,46.266,35.70263617717885,47.2,28.632130552929517,10.988,3.2260068195836165,3.186,8.949494147715837,12.506,12.091903489525544,9.533999999999999,10.78471974601102,4.792,3.6991850453849966,2.44,3.0797321312088166,7.868,6.114157341776543,7.424,2.8400052816852295,11.882,2.816464095279754,183,0,6,0,5
8,Female,5XFAD,45% HFD,B6xBXD74,4.676666666666667,3.026653817887558,56.00333333333334,15.275252316519467,61.333333333333336,7.8588951725629554,62.223333333333336,17.023470073205793,55.553333333333335,16.293238884068856,11.63,0.2605762844159075,-0.046000000000001005,4.573703422829251,58.83333333333333,9.503032849218888,70.06666666666666,23.53547181029803,71.39666666666666,8.14160508335631,57.65,26.176567765847377,68.95,10.310984434087752,65.34666666666666,6.5240886975372545,12.799999999999999,1.3649542116862379,225,0,7.38,0,3
8,Female,5XFAD,6% Extruded,B6xBXD12,0,NA,5.33,NA,16,NA,42,NA,44.67,NA,11.8,NA,14.401999999999996,NA,25.28,NA,34.15,NA,64.3,NA,40.8,NA,20.22,NA,36.93,NA,13.9,NA,246,NA,8.07,NA,1
8,Female,5XFAD,6% Extruded,B6xBXD125,1.775,2.5102290732122436,20.67,14.142135623730951,49,17.43725322406026,49.33,16.97056274847714,61.665,10.839946955589772,15.3,3.5355339059327378,12.3315,0.9439875528840416,30.375,5.013387078612625,21.84,15.528064914856584,28.05,10.81873375215418,24.28,13.958287860622447,22.225,5.027529214236353,25.38,1.6970562748477132,24.5,15.556349186104045,246,9.899494936611665,8.07,0.3252691193458125,2
8,Female,5XFAD,6% Extruded,B6xBXD14,0,0,0,0,18,21.679893911179548,10,6.6043773362823535,19,1.4142135623730951,14.75,2.1920310216782983,4.8999999999999995,1.9318157262016473,21.62,29.31664714799426,27.055,37.00289785949203,21.505,26.02860061547681,27.385,38.72823840558721,22.78,26.558930701366727,24.07,31.52282030529629,23.450000000000003,1.9091883092036779,246,0,8.07,0,2
8,Female,5XFAD,6% Extruded,B6xBXD16,0,0,9,8.018590898655448,37,7.0710678118654755,37.665,8.959042917633559,30.33,1.4142135623730951,9.695,0.8414570696119912,6.4655000000000005,1.7925156903078974,29.490000000000002,8.782266222336922,35.365,0.47376154339498805,29.490000000000002,20.06769045007422,20.62,18.497913395840083,20.555,11.476343058657669,27.11,8.174154390516492,24.195,0.06363961030678918,218,0,7.15,0,2
8,Female,5XFAD,6% Extruded,B6xBXD169,0.355,0.40991869112463425,22.1675,29.823002727201477,36,17.799417593468238,39.665,34.55492680742743,44.667500000000004,22.330447636952258,13.3025,1.2094179040623911,7.116499999999999,3.156441192228993,40.8,19.545480295966126,44.347500000000004,24.627271299652072,48.3925,32.694018183759546,44.9025,17.93542932299085,41,12.455180983563961,43.8675,18.297924062581526,20.02,6.794527209453208,247,6.928203230275509,8.100000000000001,0.23094010767585052,4
8,Female,5XFAD,6% Extruded,B6xBXD180,0.355,0.5020458146424487,9,0.4666904755831215,45.335,1.8879751057680831,60.33,9.899494936611665,60.335,19.32522832982834,13.094999999999999,1.4071424945612299,16.9,6.4587133393579235,41.24,9.093393206059,58.2,0.15556349186103965,58.535,9.722718241315029,50.22,17.720095936534882,27.89,15.556349186104045,47.245,10.373256480006653,37.394999999999996,8.082230508962239,224,0,7.34,0,2
8,Female,5XFAD,6% Extruded,B6xBXD187,0.8,1.1313708498984762,1.335,1.8879751057680818,19.335,27.343819228483795,21,2.3617366491630714,32,0.9475230867899761,16.395,5.366940469205897,9.366,3.8212050455321007,29.935,13.484526317227461,35.92,5.020458146424488,51.885000000000005,4.391133111168461,36.14,15.994755390439709,34.78,9.899494936611665,37.73,9.743931444750624,34.17,13.180470401317246,224,0,7.34,0,2
8,Female,5XFAD,6% Extruded,B6xBXD28,0.535,0.7566042558696059,9,4.242640687119285,20,0,24.665,13.201683604752843,23.665,23.101178541364508,10.5,2.4041630560342604,4.8660000000000005,6.9777297167488515,21.285,2.510229073212242,35.92,12.544074298249352,41.575,2.043538597629123,24.28,0.15556349186103965,20,1.880904037956214,28.6,2.107178207935912,23.5,10.606601717798213,238,0,7.8,0,2
